========== OUTPUT ==========
Cloudlet ID	Data center ID	VM ID	Time	Start Time	Finish Time
10				2		1		0.11		0.1		0.21
9				2		2		0.11		0.1		0.21
8				2		3		0.11		0.1		0.21
7				2		4		0.11		0.1		0.21
6				2		1		0.11		0.21		0.32
5				2		2		0.11		0.21		0.32
4				2		3		0.11		0.21		0.32
3				2		4		0.11		0.21		0.32
2				2		1		0.11		0.32		0.43
1				2		2		0.11		0.32		0.43
========== OUTPUT ==========
Cloudlet ID	Data center ID	VM ID	Time	Start Time	Finish Time
10				2		1		0.2		0.1		0.3
6				2		5		0.2		0.1		0.3
9				2		2		0.2		0.1		0.3
5				2		6		0.2		0.1		0.3
8				2		3		0.2		0.1		0.3
4				2		7		0.2		0.1		0.3
7				2		4		0.2		0.1		0.3
3				2		8		0.2		0.1		0.3
2				2		1		0.2		0.3		0.5
1				2		2		0.2		0.3		0.5
========== OUTPUT ==========
Cloudlet ID	Data center ID	VM ID	Time	Start Time	Finish Time
10				2		1		0.11		0.1		0.21
9				2		2		0.11		0.1		0.21
8				2		1		0.11		0.21		0.32
7				2		2		0.11		0.21		0.32
6				2		1		0.11		0.32		0.43
5				2		2		0.11		0.32		0.43
4				2		1		0.11		0.43		0.54
3				2		2		0.11		0.43		0.54
2				2		1		0.11		0.54		0.65
1				2		2		0.11		0.54		0.65
